CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
0-2000-0-81782,DOM ELISEU,N,0.0,Operante,Automatica,-4.28055554,0-76-0-1502939000000571,2,251.0,PA,A252,-47.56388888,2018-03-07
0-2000-0-86985,DOM PEDRITO,N,0.0,Operante,Automatica,-31.0025,0-76-0-4306601000000458,8,150.0,RS,A881,-54.61805554,2010-04-22
0-2000-0-86797,DORES DO INDAIA,N,0.0,Operante,Automatica,-19.48194443,0-76-0-3123205000000205,5,721.09,MG,A536,-45.59388888,2007-05-31
0-2000-0-86858,DOURADOS,N,0.0,Operante,Automatica,-22.19388888,0-76-0-5003702000000118,7,463.3,MS,A721,-54.91138888,2006-10-17
0-2000-0-84807,DRACENA,N,0.0,Operante,Automatica,-21.45777777,0-76-0-3514403000000529,7,383.0,SP,A762,-51.55222222,2016-11-02
0-2000-0-86877,DUQUE DE CAXIAS - XEREM,N,0.0,Operante,Automatica,-22.58972221,0-76-0-3301702000000022,6,22.0,RJ,A603,-43.28222221,2002-10-20
0-2000-0-86766,ECOPORANGA,N,0.0,Operante,Automatica,-18.29138888,0-76-0-3202108000000541,6,224.0,ES,A631,-40.73638888,2017-03-16
0-2000-0-86754,EDEIA,N,0.0,Operante,Automatica,-17.33694444,0-76-0-5207402000000556,10,608.0,GO,A029,-49.91472222,2017-08-25
0-2000-0-81843,EIRUNEPE,N,0.0,Pane,Automatica,-6.65027777,0-76-0-1301407000000483,1,121.54,AM,A109,-69.8686111,2012-08-30
0-2000-0-86997,ENCRUZILHADA DO SUL,N,0.0,Operante,Automatica,-30.54305555,0-76-0-4306908000000575,8,427.75,RS,A893,-52.52472221,2018-03-14
0-2000-0-86620,EPITACIOLANDIA,N,0.0,Operante,Automatica,-11.02388888,0-76-0-1200252000000455,1,224.5,AC,A140,-68.73527777,2009-09-24
0-2000-0-86954,ERECHIM,N,0.0,Operante,Automatica,-27.65777777,0-76-0-4307005000000146,8,777.08,RS,A828,-52.30583333,2006-11-24
0-2000-0-86695,ESPINOSA,N,0.0,Operante,Automatica,-14.91222222,0-76-0-3124302000000273,5,565.36,MG,A543,-42.80861111,2007-11-13
